"","ID","author"
"1","ISI:000383936800061","Vega-Vazquez, Manuela"
"2","ISI:000383936800061","Jose Cossio-Silva, Francisco"
"3","ISI:000383936800061","Revilla-Camacho, Maria-Angeles"
"4","ISI:000382964100002","Choi, Suk Bong"
"5","ISI:000382964100002","Williams, Christopher"
"6","ISI:000378462200009","Czarnitzki, Dirk"
"7","ISI:000378462200009","Doherr, Thorsten"
"8","ISI:000378462200009","Hussinger, Katrin"
"9","ISI:000378462200009","Schliessler, Paula"
"10","ISI:000378462200009","Toole, Andrew A."
"11","ISI:000375516900005","Javalgi, Rajshekhar (Raj) G."
"12","ISI:000375516900005","Grossman, David A."
"13","ISI:000373748900009","Martin, Silvia L."
"14","ISI:000373748900009","Javalgi, Rajshekhar (Raj) G."
"15","ISI:000384623000002","Wijesekara, W. A. D. S."
"16","ISI:000384623000002","Kumara, P. A. P. Samantha"
"17","ISI:000384623000002","Gunawardana, T. S. L. W."
"18","ISI:000369949700003","Bertoni, Fabio"
"19","ISI:000369949700003","D'Adda, Diego"
"20","ISI:000369949700003","Grilli, Luca"
"21","ISI:000369327400001","Huang, Hao-Chen"
"22","ISI:000384636400004","Ghasemi, Bahare"
"23","ISI:000384636400004","Rowshan, Aligholi"
"24","ISI:000382170300003","Anwar, Muhammad Naveed"
"25","ISI:000382170300003","Daniel, Elizabeth"
"26","ISI:000376139600005","Yu, Xiaoyu"
"27","ISI:000376139600005","Nguyen, Bang"
"28","ISI:000376139600005","Chen, Yi"
"29","ISI:000376139600012","Sun, Jialu"
"30","ISI:000376139600012","Yao, Meifang"
"31","ISI:000376139600012","Zhang, Weiyong"
"32","ISI:000376139600012","Chen, Yong"
"33","ISI:000376139600012","Liu, Yan"
"34","ISI:000375405700005","Mirzaei, Omid"
"35","ISI:000375405700005","Micheels, Eric T."
"36","ISI:000375405700005","Boecker, Andreas"
"37","ISI:000374138100001","Alonso, Abel Duarte"
"38","ISI:000374154000009","Morgan, Todd"
"39","ISI:000374154000009","Anokhin, Sergey"
"40","ISI:000374154000009","Wincent, Joakim"
"41","ISI:000374177800003","Amin, Muslim"
"42","ISI:000374177800003","Thurasamy, Ramayah"
"43","ISI:000374177800003","Aldakhil, Abdullah M."
"44","ISI:000374177800003","Bin
Kaswuri, Aznur Hafeez"
"45","ISI:000366086000014","Perez-Luno, Ana"
"46","ISI:000366086000014","Saparito, Patrick"
"47","ISI:000366086000014","Gopalakrishnan, Shanti"
"48","ISI:000367418800005","Reijonen, Helen"
"49","ISI:000367418800005","Hirvonen, Saku"
"50","ISI:000367418800005","Nagy, Gabor"
"51","ISI:000367418800005","Laukkanen, Tommi"
"52","ISI:000367418800005","Gabrielsson, Mika"
"53","ISI:000361763000004","Morgan, Todd"
"54","ISI:000361763000004","Anokhin, Sergey"
"55","ISI:000361763000004","Kretinin, Andrey"
"56","ISI:000361763000004","Frishammar, Johan"
"57","ISI:000362324000002","Ka"
"58","ISI:000362324000002",", Hamidreza"
"59","ISI:000362324000002","Westerlund, Mika"
"60","ISI:000360806100011","D'Angelo, Alfredo"
"61","ISI:000360806100011","Benassi, Mario"
"62","ISI:000359282800013","Godley, Andrew C."
"63","ISI:000359282800013","Casson, Mark C."
"64","ISI:000358334900010","Cai, Li"
"65","ISI:000358334900010","Liu, Qing"
"66","ISI:000358334900010","Zhu, Xiumei"
"67","ISI:000358334900010","Deng, Shengliang"
"68","ISI:000356001900016","Schumacher, Heiner"
"69","ISI:000356001900016","Gerling, Kerstin"
"70","ISI:000356001900016","Kowalik, Michal"
"71","ISI:000358135300017","Mejia, Javier"
"72","ISI:000350812400002","Engelen, Andreas"
"73","ISI:000350812400002","Schmidt, Susanne"
"74","ISI:000350812400002","Buchsteiner, Michael"
"75","ISI:000373693400008","Fillis, Ian"
"76","ISI:000366494400005","Chetty, Sylvie"
"77","ISI:000366494400005","Ojala, Arto"
"78","ISI:000366494400005","Leppaaho, Tanja"
"79","ISI:000346473300005","Keyhani, Mohammad"
"80","ISI:000346473300005","Levesque, Moren"
"81","ISI:000346473300005","Madhok, Anoop"
"82","ISI:000343707800003","Rethel, Lena"
